rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
"1 King Bed, Mobility Accessible, Communication Assistance, Roll In Shower, Non-Smoking, Full Breakfast",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Premium Suite, 1 Bedroom",suite,premium,private bathroom,,,not club,1 bedroom,no balcony,,
Standard room,room,standard,private bathroom,,,not club,,no balcony,,
Double Room B&amp;B BAR FLEX,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premium Room Premium Room,room,premium,private bathroom,,,not club,,no balcony,,
3-bed townhouse double (Main Building),cottage,,private bathroom,,,not club,,no balcony,,
Queen Guestroom,room,standard,private bathroom,,double,not club,,no balcony,,
"Triple Room, Non Smoking (3 Twin Beds)",room,standard,private bathroom,,triple,not club,,no balcony,,
"Room with Theme Park Access, Guest room, 2 Double, Resort view (Complimentary Beach Access to Sheraton JBR and Shuttle to MOE & Dubai Mall)",room,standard,private bathroom,,double,not club,,no balcony,with view,
Standard STANDARD ROOM PARTIAL SEA VIEW(NEW) Partial Sea,room,standard,private bathroom,,,not club,,no balcony,partial-sea view,
Superior 1 King Bed Breakfast,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
4-person Economy family Double bed Twin beds Room without a window,dorm,,shared bathroom,double/double-or-twin,,not club,,no balcony,,
Deluxe King Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Suite, 1 King Bed with Sofa bed (1 King Bed and 1 Double Sofa Bed)",suite,,private bathroom,,double,not club,,no balcony,,
"Premium Room, 1 Twin Bed",room,premium,private bathroom,single bed,single,not club,,no balcony,,
"Standard Room, 1 Queen Bed (Centro)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Connecting Kyma Suites,suite,,private bathroom,,,not club,,no balcony,,
economy double room (1 Double),room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Two Bedroom Apartment TWO BEDROOM APARTMENT,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,,
Twin/Double room - Corner Twin/Double room - Corner,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Room, 2 Twin Beds (2 Twin Beds)",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Family Quadruple Room, 1 Bedroom (1 Double Bed and 2 Twin Beds)",room,standard,private bathroom,,quadruple,not club,1 bedroom,no balcony,,
dormBed in 8-bed male dormitory  (Annex Building) in block,dorm,,shared bathroom,,,not club,,no balcony,,
"Club Sea View, Club lounge access, Guest room, 1 King, Balcony Half Board",room,standard,private bathroom,double/double-or-twin,double,club,,balcony,sea view,
Junior suite room twin,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Family Room,room,standard,private bathroom,,,not club,,no balcony,,
Executive King Burj Khalifa View Executive King Burj Khalifa View,room,executive,private bathroom,,,not club,,no balcony,burj-khalifa view,
Family Room - Non Smoking - Free Shuttle to Public Beach,room,standard,private bathroom,,,not club,,no balcony,,
Two Bedroom Villa Two Bedrooms Sunset Villa,villa,,private bathroom,,,not club,2 bedrooms,no balcony,sunset view,
Family suite 2 bedrooms - Sea View Family suite 2 bedrooms - Sea View sea,suite,,private bathroom,,,not club,2 bedrooms,no balcony,sea view,
"Traditional, Guest room, 1 Queen Traditional, Guest room, 1 Queen",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Twin room - Luxury - Ocean View Twin room - Luxury - Ocean View ocean,room,luxury,private bathroom,twin/twin-or-double,double,not club,,no balcony,ocean view,
"Basic Twin Room, 2 Twin Beds (2 Twin Beds)",room,economy,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard Queen Terrace,room,standard,private bathroom,,double,not club,,no balcony,,
Ocean View Deluxe Twin Room,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,ocean view,
Double room Queen bed - Executive Double room Queen bed - Executive,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
KING DELUXE ROOM W/BALCONY Breakfast,room,deluxe,private bathroom,,,not club,,balcony,,
Classic Double Queen,room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Superior room with balcony,room,superior,private bathroom,,,not club,,balcony,,
Double room King bed - De Luxe Double room King bed - De Luxe,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Duplex, 2 Bedrooms, Non Smoking (1 King Bed, 1 Twin Bed)",room,standard,private bathroom,multiple,single,not club,2 bedrooms,no balcony,,duplex floor
JUNIOR SUITE (ONE BEDROOM),junior-suite,,private bathroom,,,not club,1 bedroom,no balcony,,
Standard Room (Residence Building),room,standard,private bathroom,,,not club,,no balcony,,
Junior Suite (1 Queen Bed),junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe King Room with sea view, balcony, access to luxury spa, Kids & Teens Club, private cinema",room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,sea view,
1 King Non Smoking Suite(FIT Tour Operator - Wholesale 1),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
classic room Breakfast,room,classic,private bathroom,,,not club,,no balcony,,
Rover Room Sea View Double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Deluxe Room with Palm Jumeirah Sea View Deluxe Room with Palm Jumeirah Sea View Breakfast Included (1 Double or 1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Noa Garden Double Room Noa Garden Double Room Non-Refundable (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premium Room (1 Twin Bed),room,premium,private bathroom,single bed,single,not club,,no balcony,,
Double Room - With Breakfast Guest Room-Bed & Breakfast-Refundable Rate,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double Interconnecting Side Sea View (3+2) (4 Twin Beds),room,standard,private bathroom,,quadruple,not club,,no balcony,partial-sea view,
Terrace Desert View Twin Room,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
King Lakeview No Balcony,room,standard,private bathroom,,,not club,,no balcony,lake view,
"Junior Suite, 1 King Bed (Low Floor) (1 King Bed)",junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Business Double room Non-ref rate with breakfast,room,business,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Skyline Two Beds,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Room,room,standard,private bathroom,,,not club,,no balcony,,
Deluxe Studio With Large Balcony (2 Twin Beds and 1 Large Twin Sofa Bed),studio,deluxe,private bathroom,twin/twin-or-double,double,not club,,balcony,,
Apartment 2 bedrooms - Family - Balcony Apartment 2 bedrooms - Family - Balcony,apartment,,private bathroom,,,not club,2 bedrooms,balcony,,
"Deluxe Room, 1 King Bed, Non Smoking, Sea View",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Deluxe Double/Double Sofa (2 Double Beds and 1 Double Sofa Bed),room,deluxe,private bathroom,twin/twin-or-double,quadruple,not club,,no balcony,,
Double/Double - De Luxe - Bay View Double/Double - De Luxe - Bay View bay,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,bay view,
Premium Room non-smoking,room,premium,private bathroom,,,not club,,no balcony,,
Single room - De Luxe - City Single room - De Luxe - City city,room,deluxe,private bathroom,,single,not club,,no balcony,,
"Premium Room, 1 King Bed, Oceanfront (Newly Renovated) (1 King Bed)",room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean front,
Standard room for two persons studio (with kitchen area),studio,standard,private bathroom,,double,not club,,no balcony,,
Two Bedroom Family Suite Sea/Pool View,suite,,private bathroom,,,not club,2 bedrooms,no balcony,,
Studio - Kitchenette Studio - Kitchenette,studio,,private bathroom,,,not club,,no balcony,,
"Family Apartment (spacious, cozy apartment with its own kitchen) Best price, no breakfast",apartment,,private bathroom,,,not club,,no balcony,,
Deluxe Studio With Private Plunge Pool (1 King Bed),studio,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive King,room,executive,private bathroom,,,not club,,no balcony,,
Deluxe Basic rate with breakfast,room,deluxe,private bathroom,,,not club,,no balcony,,
Loft Luxury Seafront Guestroom with Private Pool,apartment,luxury,private bathroom,,,not club,,no balcony,sea front,
Club Double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Classic Room, 2 Double Beds, Garden View (2 Double Beds)",room,classic,private bathroom,twin/twin-or-double,quadruple,not club,,no balcony,garden view,
Studio - Queen bed Studio - Queen bed,studio,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Luxe 4,room,standard,private bathroom,,,not club,,no balcony,,
Studio standard room with 1 sofa bed double,studio,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Club Ocean King Half Board,room,standard,private bathroom,,,not club,,no balcony,,
Standard cottage (breakfast included) double,cottage,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Junior Suite, 1 Bedroom, Non Smoking (1 King Bed)",junior-suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
"Superior Room, City View",room,superior,private bathroom,,,not club,,no balcony,city view,
Deluxe 1 King or Twin Deluxe Sea View Room Sea,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Standard Garden View 2 Queen Room Garden,room,standard,private bathroom,,double,not club,,no balcony,garden view,
Junior Suite room for two persons,junior-suite,,private bathroom,,double,not club,,no balcony,,
Deluxe Twin Atrium View(with breakfast),room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Club Room, 2 Twin Beds, Lounge access, City view (2 Twin Beds)",room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,city view,
TWIN DELUXE SEA VIEW ROOM,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,sea view,
Deluxe Room Aqua,room,deluxe,private bathroom,,,not club,,no balcony,,
Junior Suite - City View Junior Suite - City View city,junior-suite,,private bathroom,,,not club,,no balcony,city view,
Two-room Deluxe Non-refundable without breakfast,room,deluxe,private bathroom,,,not club,2 bedrooms,no balcony,,
Connected Family Room (1 Queen Bed and 1 Large Twin Sofa Bed),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"2 Bedroom Executive Suite, Bedroom 1: 1 King, Bedroom 2: 1 Queen, Sea view, Corner room, Balcony",suite,executive,private bathroom,double/double-or-twin,,not club,2 bedrooms,balcony,sea view,
STANDARD ROOM Basic rate with breakfast,room,standard,private bathroom,,,not club,,no balcony,,
Double room - Classic (1 Double),room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior,room,superior,private bathroom,,,not club,,no balcony,,
Single room - Terrace Single room - Terrace,room,standard,private bathroom,,single,not club,,no balcony,,
Deluxe deluxe king (scenic view),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
standard balcony room double Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,balcony,,
Superior villa double (Annex Building),villa,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family room - Panoramic Sea View Family room - Panoramic Sea View sea,room,standard,private bathroom,,,not club,,no balcony,sea view,
grand duplex king (1 King),room,grand,private bathroom,double/double-or-twin,double,not club,,no balcony,,duplex floor
Executive room sea view double (Executive Floor),room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Junior Suite Garden View,junior-suite,,private bathroom,,,not club,,no balcony,garden view,
Superior Deluxe 2-Bedroom Suite,suite,superior,private bathroom,,,not club,2 bedrooms,no balcony,,
Premier Room Breakfast,room,premier,private bathroom,,,not club,,no balcony,,
Suite Room Breakfast,suite,,private bathroom,,,not club,,no balcony,,
Executive DOUBLE EXECUTIVE,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Room (King) (1 King Bed),room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Deluxe Room, 1 King Bed, Balcony",room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,,
"Comfort Double Room, 1 King Bed",room,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Two Bedroom Family Apartment (Max 5) Half Board,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,,
luxury kids / family room - 01 king bed & 02 bunk beds Room Only,room,luxury,private bathroom,bunk bed,,not club,,no balcony,,
Premier Room Twin City View (2 Twin Beds),room,premier,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
Junior Suite (1 Double or 1 Twin),junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Room Partial Sea View,room,deluxe,private bathroom,,,not club,,no balcony,partial-sea view,
Prestige View,room,prestige,private bathroom,,,not club,,no balcony,,
Standard Standard with breakfast,room,standard,private bathroom,,,not club,,no balcony,,
Economy room (facilities on the floor) double (Main Building) in block,room,economy,shared bathroom,double/double-or-twin,double,not club,,no balcony,,
Spacious King Room Spacious King Room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Suite, 2 Bedrooms, Connecting Rooms",suite,deluxe,private bathroom,,,not club,2 bedrooms,no balcony,,
PANORAMIC SUITE,suite,,private bathroom,,,not club,,no balcony,,
"Apartment, 2 Bedrooms (2 Adults) (2 Twin Beds)",apartment,,private bathroom,twin/twin-or-double,,not club,2 bedrooms,no balcony,,
Plantation Suite - Tea,suite,,private bathroom,,,not club,,no balcony,,
Economic Double Economic Double,room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite sea view,suite,,private bathroom,,,not club,,no balcony,sea view,
"Standard Standard Room, 2 Twin Beds, Smoking",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Suite Mobility Accessible Tub Non-smoking Suite Mobility Accessible Tub Non-smoking,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"superior studio suite,1 bedroom,smoking",suite,superior,private bathroom,,,not club,1 bedroom,no balcony,,
TWO QUEEN DLX SKYLINE SEA Breakfast,room,deluxe,private bathroom,,double,not club,,no balcony,,
Executive Double Room,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
1 King Bed Junior Suite Room Only,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double room - De Luxe - Pool View Double room - De Luxe - Pool View pool,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,pool view,
superior king room Room Only,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Terrace Room with Sea View Deluxe Terrace Room with Sea View,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
Pearl Suite with Balcony Pearl Suite with Balcony,suite,,private bathroom,,,not club,,balcony,,
Deluxe panoramic with bay window city view Breakfast excluded,room,deluxe,private bathroom,,,not club,,no balcony,city view,
"Two Bedroom Business Suite Suite, 2 Bedrooms, Business Lounge Access, 1 King Bed and 2 Twin Beds",suite,,private bathroom,,quadruple,not club,2 bedrooms,no balcony,,
Deluxe Room (1 Twin),room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"vineyard suite 1 king, 500 sf, 46 sm, jacuzzi tub, fireplace, sofabed, garden views Room Only",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
TWIN/DOUBLE ROOM SUPERIOR Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
premium double partial  sea view room Room Only,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
"Suite Duplex, lateral sea view",suite,,private bathroom,,,not club,,no balcony,partial-sea view,duplex floor
Standard economy double or twin room with 2 twin beds   in block,room,economy,shared bathroom,double/double-or-twin,double,not club,,no balcony,,
club room - double Half Board,room,standard,private bathroom,double/double-or-twin,double,club,,no balcony,,
"Room, 1 King Bed, Accessible, City View (3x3 Shower) (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Cottage 1 Basic rate without breakfast,cottage,,private bathroom,,,not club,,no balcony,,
Cottage 2 Basic rate without breakfast,cottage,,private bathroom,,,not club,,no balcony,,
Standard City View King City,room,standard,private bathroom,,,not club,,no balcony,city view,
"Club King Raffles, Club Room, 1 King Bed, City View City",room,standard,private bathroom,double/double-or-twin,double,club,,no balcony,city view,
TWIN comfort SPEICAL RATE WITH BREAKFAST,room,comfort,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"premium suite,1 bedroom,garden view (king)",suite,premium,private bathroom,,,not club,1 bedroom,no balcony,garden view,
Deluxe French Room Only,room,deluxe,private bathroom,,,not club,,no balcony,,
Executive Room With Queen Bed And Single Sofa Bed,room,executive,private bathroom,double/double-or-twin,single,not club,,no balcony,,
classic king room - oceanfront Breakfast,room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean front,
Standard 2-room,room,standard,private bathroom,,,not club,2 bedrooms,no balcony,,
Lagoon Pool Access Deluxe Terrace Lagoon Pool Access Deluxe Terrace Breakfast Included (1 Double or 1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family room - Connection Family room - Connection,room,standard,private bathroom,,,not club,,no balcony,,
Standard,room,standard,private bathroom,,,not club,,no balcony,,
Superior room Basic rate with breakfast,room,superior,private bathroom,,,not club,,no balcony,,
"Deluxe Room, Sea View (2 Twin Beds)",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,sea view,
Standard room with 1 double bed Atrium double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Pearl Club Suite Double Half Board,suite,,private bathroom,double/double-or-twin,double,club,,no balcony,,
Twin/Double room - Bosphorus Twin/Double room - Bosphorus,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Classic Twin Room, 2 Twin Beds",room,classic,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard Double Standard rate without breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior King Room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Club King Executive Club King,room,executive,private bathroom,,,club,,no balcony,,
"Two-Bedroom Bungalow Bungalow, 2 Bedrooms (1 Double or 1 Twin)",bungalow,,private bathroom,double/double-or-twin,,not club,2 bedrooms,no balcony,,
junior suite double with child extra bed All Inclusive,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Two Bedroom Suite Suite, 2 Bedrooms (Ultimate ME, Lounge & Jacuzzi), 1 King Bed",suite,,private bathroom,double/double-or-twin,,not club,2 bedrooms,no balcony,,
"Executive Room with 1 king size bed Executive Room With 1 King Size Bed,Breakfast (1 Double)",room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe DELUXE GARDEN VIEW KING Garden,room,deluxe,private bathroom,,,not club,,no balcony,garden view,
Suite family room double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Triple Breakfast,room,superior,private bathroom,,triple,not club,,no balcony,,
TRYP One-Bedroom Suite with Soluna Beach Club access,suite,,private bathroom,,,club,1 bedroom,no balcony,,
Suite family room with 1 double bed double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Comfort Double Room with Desk - Non-Smoking,room,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe 2 Twin Beds Deluxe Room Non-smoking,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard Room - Land View Single bed(1 Amount),room,standard,private bathroom,single bed,single,not club,,no balcony,land view,
Family Room Single bed(2 Amount),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Deluxe Room, Guest room, 2 Twin/Single Bed(s) Deluxe Room, Guest room, 2 Twin/Single Bed(s)",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
KING DELUXE SEA VIEW ROOM,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
"One Bedroom Suite 1 King and 1 Sofa Bed, One Bedroom Suite, Non-Smoking",suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Junior Suite - Bosphorus Junior Suite - Bosphorus,junior-suite,,private bathroom,,,not club,,no balcony,,
One Bedroom Suite MARJAN SUITE/FAMILY SUITE/1 BEDROOM SUITE,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
"Deluxe Room, 1 Queen Bed, Pool View",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,pool view,
Annex Tower Double Room (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
standard room double Full Board,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Romantic Room,room,standard,private bathroom,,,not club,,no balcony,,
Piano Nobile,room,standard,private bathroom,,,not club,,no balcony,,
"Executive Room, 2 Queen Beds, Non Smoking, Sea View",room,executive,private bathroom,,quadruple,not club,,no balcony,sea view,
"Accessible - Suite King Bed, Mobility Accessible, Roll In Shower, Sofabed, Full Kitchen, Air-Conditioned, Non-Smoking",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Room (No Window),room,superior,private bathroom,,,not club,,no balcony,,
1 Bedroom Suite Dining Kitchen Balcony Palm Sea View,suite,,private bathroom,,,not club,1 bedroom,balcony,sea view,
Superior Room Breakfast Included,room,superior,private bathroom,,,not club,,no balcony,,
Standard Room - Quadruple Single bed(4 Amount),room,standard,private bathroom,single bed,single,not club,,no balcony,,
ADA King Room Only,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe room with 1 double bed double (Main Building),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Single Room, Non Smoking",room,standard,private bathroom,,single,not club,,no balcony,,
Senior Suite,suite,,private bathroom,,,not club,,no balcony,,
1 king bed sofa bed smoking Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Classic Room, Business Lounge Access (1 Twin Bed)",room,classic,private bathroom,single bed,single,not club,,no balcony,,
Superior One Queen Superior Room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premier Deluxe Golf View(Room Only),room,deluxe,private bathroom,,,not club,,no balcony,golf view,
Deluxe Double room - De Luxe - Tropical - Pool View Pool,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,pool view,
King Executive Room,room,executive,private bathroom,,,not club,,no balcony,,
"Premium Room, 1 King Bed, City View",room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Deluxe Private Pool Suite Non-Refundable,suite,deluxe,private bathroom,,,not club,,no balcony,,
2 Bedroom Beach Villa with private pool,villa,,private bathroom,,,not club,2 bedrooms,no balcony,,
Deluxe Partial Sea View,room,deluxe,private bathroom,,,not club,,no balcony,partial-sea view,
"Three Bedroom Apartment 3 Bedroom Apartment, 1 King Bed and 4 Twin Beds",apartment,,private bathroom,,,not club,3 bedrooms,no balcony,,
2 Single Beds Standard Smoking,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Double room King bed - Club Floor Half Board,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Garden View Bungalow Garden View Bungalow Breakfast Included (1 Double or 1 Twin),bungalow,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Deluxe room with 1 double bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family Junior Suite Non-refundable without breakfast,junior-suite,,private bathroom,,,not club,,no balcony,,
Loft with double bed Basic Rate without breakfast,apartment,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Grand Canal Suite Non smoking non-smoking,suite,grand,private bathroom,,,not club,,no balcony,,
Raval,room,standard,private bathroom,,,not club,,no balcony,,
Twin/Double room - Executive Sea View Twin/Double room - Executive Sea View sea,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Grand Deluxe Grand Deluxe Twin,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Superior King Studio,studio,superior,private bathroom,,,not club,,no balcony,,
Junior Suite-Grand Hotel Special,junior-suite,grand,private bathroom,,,not club,,no balcony,,
Guest Room Twin All Inclusive,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Landmark View Suite Half Board,suite,,private bathroom,,,not club,,no balcony,with view,
3-room family quadruple room  (building 1) twin,room,standard,private bathroom,,quadruple,not club,3 bedrooms,no balcony,,
Standard double or twin room twin,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Superior Double Room, 1 King Bed (1 King Bed)",room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Double Room (1 Queen Bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Room Superior Individual Pool GV Double,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Double Room, Balcony, Sea View",room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,sea view,
Family Connecting Room non-smoking,room,standard,private bathroom,,,not club,,no balcony,,
Twin/Double room - Executive - Balcony Twin/Double room - Executive - Balcony,room,executive,private bathroom,double/double-or-twin,double,not club,,balcony,,
fairmont king non smoking (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
1 King Premium 1 King Premium,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Capital Suite,suite,,private bathroom,,,not club,,no balcony,,
"Superior Room, Sea View (1 Queen Bed)",room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Standard ALOFT KING ROOM DOUBLE,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Villa POOL VILLA HILLSIDE SEA VIEW Sea,villa,,private bathroom,,,not club,,no balcony,partial-sea view,
Standard Room with Two Twin Beds Breakfast,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Superior Double Room (1 Double Bed),room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premier Pool Villa,villa,premier,private bathroom,,,not club,,no balcony,,
DELUXE LAGOON VIEW (2AD),room,deluxe,private bathroom,,,not club,,no balcony,bay view,
Superior DOUBLE SUPERIOR GARDEN VIEW Garden,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
"Queen 1 Queen Bed, Smoking",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple room (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"One Bedroom Apartment Apartment, 1 Bedroom",apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
"Deluxe Suite, 1 King Bed, Non Smoking",suite,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple Room - With Breakfast Jasmine Deluxe-Bed & Breakfast-Refundable Rate,room,deluxe,private bathroom,,triple,not club,,no balcony,,
Apartment - Single use - Economy Apartment - Single use - Economy,apartment,economy,private bathroom,,single,not club,,no balcony,,
Terrace Penthouse Suite,suite,,private bathroom,,,not club,,no balcony,,penthouse floor
Quadruple Quadruple Room,room,standard,private bathroom,,quadruple,not club,,no balcony,,
"Suite, 1 Bedroom, Non Smoking, Balcony",suite,,private bathroom,,,not club,1 bedroom,balcony,,
Deluxe Deluxe Marina View Room with Balcony Marina,room,deluxe,private bathroom,,,not club,,balcony,harbour view,
Junior Suite Saint Petersburg Basic rate,junior-suite,,private bathroom,,,not club,,no balcony,,
One Bedroom Executive Suite EXECUTIVE SUITE (One Bedroom),suite,executive,private bathroom,,,not club,1 bedroom,no balcony,,
1-room economy apartment double,apartment,economy,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Classic Twin Room,room,classic,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Suite Ocean (3 Twin Beds),suite,,private bathroom,,triple,not club,,no balcony,,
Executive Studio EXECUTIVE STUDIO,studio,executive,private bathroom,,,not club,,no balcony,,
"Guest KING GUEST ROOM,COMP WIFI/ESPRESSO MACHINE/48 INCH HDTV/IRON,45 SQM/BATH AND WALK-IN SHOWER/MINIBAR/SAFE,",room,standard,private bathroom,,,not club,,no balcony,,
